iter	Accuracy	MultiClass
0	0.6297297297	1.052218446
1	0.6486486486	1.019680324
2	0.6432432432	0.9864584656
3	0.6432432432	0.9545408353
4	0.6432432432	0.9336745144
5	0.6378378378	0.915580541
6	0.627027027	0.9013850954
7	0.6324324324	0.8870300913
8	0.627027027	0.8728152567
9	0.6378378378	0.8594498398
10	0.6351351351	0.8500332469
11	0.6378378378	0.8448352706
12	0.6324324324	0.8368348164
13	0.6351351351	0.8299319768
14	0.6378378378	0.8193818503
15	0.6513513514	0.8095996063
16	0.6567567568	0.8033933441
17	0.6594594595	0.7937440381
18	0.6621621622	0.7883845219
19	0.6675675676	0.7817208701
20	0.6675675676	0.7762616452
21	0.6702702703	0.7674252046
22	0.6837837838	0.7588550105
23	0.6864864865	0.7501625127
24	0.6891891892	0.7447286847
25	0.6945945946	0.7400302568
26	0.7054054054	0.7349969024
27	0.7081081081	0.7265630154
28	0.7081081081	0.718843353
29	0.7162162162	0.7155322553
30	0.7216216216	0.707805963
31	0.7405405405	0.7015827349
32	0.7432432432	0.6944683101
33	0.7432432432	0.6907371862
34	0.7405405405	0.682295476
35	0.7648648649	0.6732225515
36	0.7648648649	0.665590849
37	0.772972973	0.6590415194
38	0.7810810811	0.653768065
39	0.7783783784	0.6457128792
40	0.7918918919	0.6393615933
41	0.7945945946	0.6315493897
42	0.8	0.6260953181
43	0.8081081081	0.6194333684
44	0.8108108108	0.6143885461
45	0.8135135135	0.6078296767
46	0.8189189189	0.6033648533
47	0.827027027	0.598423187
48	0.827027027	0.5903202174
49	0.827027027	0.5853194512
50	0.8378378378	0.5808243667
51	0.8378378378	0.5802208068
52	0.8378378378	0.5797040442
53	0.8378378378	0.5791355786
54	0.8351351351	0.5785875795
55	0.8351351351	0.5781282092
56	0.8351351351	0.5776878939
57	0.8351351351	0.5771680756
58	0.8459459459	0.5726706935
59	0.8459459459	0.5671413193
60	0.8459459459	0.563587724
61	0.8513513514	0.5585002351
62	0.8540540541	0.5534252319
63	0.8540540541	0.5501551582
64	0.8540540541	0.549796007
65	0.8540540541	0.5494483118
66	0.8540540541	0.549015524
67	0.8540540541	0.5487713084
68	0.8540540541	0.5485931028
69	0.8594594595	0.5461300985
70	0.8567567568	0.5410928313
71	0.8567567568	0.5408860387
72	0.8567567568	0.5407151148
73	0.8540540541	0.5361111205
74	0.8540540541	0.5359461198
75	0.8594594595	0.5332554591
76	0.8594594595	0.5330479586
77	0.8594594595	0.5328452918
78	0.8594594595	0.5326468531
79	0.8594594595	0.5322551694
80	0.8567567568	0.532012806
81	0.8621621622	0.5297766791
82	0.8702702703	0.5258061636
83	0.872972973	0.5229601794
84	0.872972973	0.5188720778
