iter	Passed	Remaining
0	2	1200
1	5	1427
2	7	1258
3	9	1151
4	11	1089
5	12	1044
6	14	1035
7	16	1008
8	18	998
9	20	980
10	21	963
11	23	950
12	24	932
13	26	921
14	28	915
15	30	922
16	32	914
17	35	940
18	36	936
19	38	930
20	40	927
21	42	921
22	44	920
23	46	923
24	48	928
25	50	923
26	52	915
27	53	909
28	55	903
29	57	897
30	59	893
31	60	886
32	63	896
33	65	899
34	67	895
35	69	891
36	70	886
37	72	880
38	74	875
39	75	871
40	79	884
41	80	882
42	82	880
43	85	881
44	86	876
45	88	871
46	89	866
47	91	864
48	93	864
49	95	860
50	97	857
51	99	853
52	100	849
53	102	844
54	103	840
55	105	836
56	108	844
57	110	843
58	112	840
59	114	836
60	115	833
61	117	829
62	119	826
63	120	824
64	122	822
65	124	819
66	126	817
67	128	813
68	129	810
69	131	808
70	133	805
71	135	803
72	138	808
73	140	811
74	142	809
75	144	808
76	147	807
77	148	805
78	152	812
79	154	813
80	156	811
81	159	810
82	160	808
83	162	805
84	164	803
85	166	803
86	168	801
87	170	800
88	173	801
89	175	799
90	177	798
91	180	798
92	181	796
93	184	794
94	186	793
95	188	792
96	190	790
97	192	788
98	194	788
99	197	788
100	199	787
101	201	785
102	203	784
103	205	783
104	207	781
105	210	782
106	212	780
107	214	778
108	216	776
109	218	774
110	220	773
111	222	771
112	225	773
113	227	771
114	229	769
115	231	767
116	233	765
117	236	765
118	238	763
119	240	762
120	242	760
121	244	758
122	246	756
123	248	753
124	250	751
125	252	750
126	255	751
127	257	749
128	259	746
129	261	744
130	263	742
131	265	739
132	268	740
133	270	738
134	271	735
135	273	732
136	275	729
137	277	727
138	279	725
139	280	722
140	284	724
141	286	722
142	288	720
143	290	717
144	292	715
145	293	712
146	295	709
147	297	708
148	300	707
149	302	705
150	304	702
151	305	700
152	307	698
153	309	695
154	311	693
155	313	691
156	315	690
157	317	687
158	319	685
159	321	682
160	323	680
161	324	677
162	326	674
163	332	680
164	334	678
165	336	676
166	338	675
167	340	672
168	342	670
169	344	668
170	346	666
171	348	664
172	350	661
173	351	659
174	353	656
175	355	654
176	357	652
177	359	650
178	361	648
179	364	647
180	366	645
181	368	643
182	370	640
183	371	638
184	375	639
185	377	637
186	380	636
187	382	634
188	383	631
189	385	629
190	387	627
191	390	626
192	393	625
193	395	624
194	397	621
195	399	619
196	401	617
197	404	617
198	406	615
199	408	612
200	411	611
201	413	609
202	414	607
203	417	605
204	419	603
205	421	601
206	423	599
207	425	597
208	427	595
209	429	593
210	432	592
211	435	591
212	437	589
213	439	587
214	441	585
215	444	583
216	446	581
217	448	580
218	450	578
219	452	575
220	454	573
221	456	571
222	458	570
223	461	568
224	463	566
225	465	564
226	467	562
227	469	560
228	471	558
229	474	556
230	477	555
231	479	553
232	481	551
233	483	549
234	485	547
235	487	545
236	490	543
237	492	541
238	494	539
239	496	537
240	498	535
241	500	533
242	502	531
243	504	529
244	507	528
245	509	526
246	511	523
247	513	521
248	515	519
249	517	517
250	518	514
251	521	513
252	524	511
253	525	509
254	527	506
255	529	504
256	531	502
257	533	500
258	534	497
259	538	497
260	540	495
261	542	492
262	544	490
263	546	488
264	547	485
265	549	483
266	552	481
267	554	479
268	555	477
269	557	475
270	559	472
271	561	470
272	563	468
273	566	466
274	568	465
275	570	463
276	572	460
277	574	458
278	576	456
279	578	454
280	581	453
281	584	451
282	586	449
283	588	447
284	590	445
285	592	443
286	594	441
287	596	439
288	598	436
289	600	435
290	602	432
291	604	430
292	606	428
293	608	426
294	612	425
295	614	423
296	616	421
297	618	419
298	620	416
299	622	414
300	623	412
301	626	410
302	628	408
303	630	406
304	632	404
305	634	402
306	636	400
307	638	398
308	641	396
309	643	394
310	645	392
311	648	390
312	650	388
313	652	386
314	655	384
315	657	382
316	659	380
317	661	378
318	664	376
319	666	374
320	668	372
321	672	371
322	674	369
323	677	367
324	679	365
325	681	363
326	684	361
327	686	360
328	689	358
329	691	356
330	693	354
331	696	352
332	698	350
333	701	348
334	704	346
335	706	344
336	709	343
337	711	341
338	714	339
339	716	337
340	719	335
341	721	333
342	724	331
343	727	329
344	729	327
345	732	326
346	734	323
347	737	321
348	739	319
349	741	317
