iter	RMSE
0	1.648436866
1	1.639080011
2	1.627566875
3	1.618226621
4	1.608671582
5	1.60036189
6	1.590985017
7	1.578166372
8	1.569375577
9	1.562049922
10	1.554614979
11	1.546387419
12	1.539025636
13	1.53339048
14	1.526413725
15	1.518220448
16	1.512606451
17	1.50622824
18	1.501202269
19	1.498750153
20	1.489793016
21	1.48206922
22	1.476308525
23	1.466698049
24	1.459332605
25	1.456013881
26	1.448450847
27	1.443631151
28	1.436889527
29	1.426025257
30	1.420786197
31	1.415291358
32	1.409396106
33	1.404397953
34	1.397734533
35	1.391182409
36	1.384841846
37	1.377383896
38	1.367572424
39	1.359893996
40	1.353019726
41	1.347741266
42	1.342835206
43	1.337138829
44	1.332339785
45	1.329344004
46	1.324622715
47	1.319569729
48	1.313967749
49	1.313431417
50	1.30893201
51	1.302656731
52	1.297375467
53	1.290558904
54	1.284757158
55	1.279942218
56	1.271763655
57	1.26257969
58	1.257969017
59	1.254401228
60	1.248044201
61	1.244129195
62	1.239866219
63	1.233614111
64	1.227302212
65	1.219233254
66	1.211329914
67	1.206950583
68	1.203636567
69	1.198201621
70	1.194418897
71	1.189481584
72	1.186240409
73	1.182985614
74	1.177198219
75	1.171890215
76	1.167061126
77	1.160598987
78	1.15732195
79	1.152347972
80	1.148077192
81	1.142276988
82	1.13826663
83	1.134313466
84	1.130977461
85	1.126326776
86	1.120223349
87	1.117068809
88	1.114435116
89	1.109811972
90	1.104836802
91	1.099521904
92	1.094403562
93	1.090789941
94	1.08562877
95	1.078840286
96	1.073496589
97	1.06712377
98	1.063116829
99	1.057573416
100	1.053383559
101	1.046513066
102	1.042525934
103	1.040222199
104	1.032720875
105	1.028939927
106	1.024528831
107	1.019028031
108	1.013271808
109	1.008872698
110	1.000761931
111	0.9944997273
112	0.9883236372
113	0.9818349158
114	0.9786444955
115	0.9758828921
116	0.970428065
117	0.9689102366
118	0.9642067694
119	0.9600196189
120	0.9559532054
121	0.9506833317
122	0.9438484476
123	0.9418466705
124	0.9381427812
125	0.9348570837
126	0.9321260597
127	0.9274517194
128	0.920804017
129	0.9163719075
130	0.9135192718
131	0.9093848335
132	0.9051896601
133	0.8997739142
134	0.8952257425
135	0.8905285124
136	0.8844931383
137	0.8779890889
138	0.8743351068
139	0.87187234
140	0.8675953366
141	0.8659224892
142	0.8611211501
143	0.8575313636
144	0.8537786309
145	0.8488185894
146	0.8439815456
147	0.8419772118
148	0.8361852203
149	0.8297489029
150	0.8269849439
151	0.8229703634
152	0.8217489739
153	0.817930181
154	0.8147741261
155	0.8119176472
156	0.8072418696
157	0.8005350313
158	0.7944576638
159	0.7873881683
160	0.7844348665
161	0.7782014463
162	0.7768492517
163	0.7751786322
164	0.7717056802
165	0.7674120258
166	0.7637457983
167	0.759285448
168	0.7548064785
169	0.7505515316
170	0.7450684478
171	0.7400935566
172	0.7344106315
173	0.7283781651
174	0.7261267229
175	0.7212675393
176	0.7187430494
177	0.715382099
178	0.711550676
179	0.707864038
180	0.7019441474
181	0.6987497964
182	0.695101416
183	0.6917583577
184	0.6870936891
185	0.6828367441
186	0.6814485452
187	0.6763582669
188	0.6715994672
189	0.6663831548
190	0.6617697314
191	0.6590240266
192	0.6571889492
193	0.6544494998
194	0.6504464947
195	0.6474331961
196	0.644873541
197	0.6419971591
198	0.6386232987
199	0.6369162216
200	0.6347052713
201	0.6315133728
202	0.6275505016
203	0.6239555016
204	0.6210225259
205	0.6184205654
206	0.6147056146
207	0.6129956401
208	0.6098900829
209	0.6061788957
210	0.6037253412
211	0.6004233041
212	0.5960789909
213	0.592109808
214	0.5881532659
215	0.5855929518
216	0.5833386233
217	0.5788120285
218	0.5761014795
219	0.5755294776
220	0.5750620625
221	0.5708608359
222	0.5689202045
223	0.5670007328
224	0.5647218428
225	0.5609978138
226	0.5578757673
227	0.5551829853
228	0.5537818386
229	0.5505553468
230	0.5467921449
231	0.5444320535
232	0.5411798653
233	0.5407369155
234	0.5369096659
235	0.5348478534
236	0.5311864602
237	0.5282882598
238	0.5249602925
239	0.5246134168
240	0.5234663199
241	0.5196931155
242	0.518616345
243	0.5165197058
244	0.5140098964
245	0.5125881329
246	0.5097763347
247	0.5060012831
248	0.5027502428
249	0.5024840107
250	0.5000074223
251	0.4993750948
252	0.4969986497
253	0.49661375
254	0.4942128573
255	0.4939817619
256	0.490411206
257	0.4892245564
258	0.4864576681
259	0.4842976428
260	0.481152662
261	0.4793499203
262	0.4777539329
263	0.4762012956
264	0.4731641796
265	0.4691947734
266	0.4673996391
267	0.4651911146
268	0.4627050501
269	0.46078061
270	0.4591427988
271	0.456824322
272	0.4552680857
273	0.4521690653
274	0.449075943
275	0.4473665007
276	0.4449153944
277	0.4413655515
278	0.439506413
279	0.4376737174
280	0.4354830627
281	0.4326419561
282	0.4315728188
283	0.4305945175
284	0.4272440082
285	0.4254903246
286	0.4218033131
287	0.419485776
288	0.4173894118
289	0.4138414463
290	0.4109100562
291	0.4089455088
292	0.4067123882
293	0.40420157
294	0.4017663129
295	0.3987837461
296	0.3980148318
297	0.3946193032
298	0.3931435731
299	0.3901526023
300	0.3899591875
301	0.3878282951
302	0.3861537249
303	0.3847901991
304	0.3819919794
305	0.3818397558
306	0.380018176
307	0.3783516288
308	0.3766159134
309	0.3753669652
310	0.3732815954
311	0.3716946485
312	0.3699112944
313	0.3676860199
314	0.3659972133
315	0.3648586759
316	0.3626451478
317	0.3607075467
318	0.3598995512
319	0.3586595406
320	0.3571675738
321	0.3559327499
322	0.3553525423
323	0.3535758027
324	0.3534229177
325	0.3520687842
326	0.3512072124
327	0.35061831
328	0.3485894241
329	0.3477648176
330	0.3460210912
331	0.34454331
332	0.3434364416
333	0.3421912471
334	0.3410570591
335	0.3381671371
336	0.3365232667
337	0.335349536
338	0.3336711877
339	0.3321167234
340	0.330734195
341	0.3293689417
342	0.3279734653
343	0.3273175834
344	0.3254626889
345	0.3234270452
346	0.3208765896
347	0.3194756776
348	0.3171517942
349	0.3150350528
350	0.3137791103
351	0.3126917011
352	0.3108007304
353	0.3094834363
354	0.3087177223
355	0.3073412493
356	0.3057830887
357	0.3042655012
358	0.3021683423
359	0.3013176466
360	0.3004267945
361	0.2977393067
362	0.2952830532
363	0.2929619061
364	0.2923935858
365	0.2905178164
366	0.2898366578
367	0.288201685
368	0.2863093896
369	0.2841434381
370	0.2831050488
371	0.2814464545
372	0.2800617662
373	0.2782576139
374	0.2767462219
375	0.27546043
376	0.2748557072
377	0.2737576943
378	0.2724762585
379	0.2712969352
380	0.2695306316
381	0.2693419898
382	0.2677394298
383	0.2658915328
384	0.2651062374
385	0.2640327944
386	0.2623379547
387	0.2612955758
388	0.2600543494
389	0.2583629739
390	0.2570917254
391	0.2559823762
392	0.2543803929
393	0.2523805429
394	0.2510083897
395	0.2495350695
396	0.2480695468
397	0.2463683496
398	0.2449083131
399	0.2435058574
400	0.2423108791
401	0.2402410247
402	0.2388644745
403	0.2374985323
404	0.2355400918
405	0.2342829341
406	0.2329293249
407	0.2321952507
408	0.2310132001
409	0.2299624877
410	0.228784925
411	0.2276793556
412	0.2261931917
413	0.2245919588
414	0.2245080875
415	0.2235134888
416	0.2224858933
417	0.2217634829
418	0.2216408438
419	0.2207937124
420	0.2197307199
421	0.2189416503
422	0.2180738494
423	0.2166934323
424	0.2155449346
425	0.2145122614
426	0.2132752475
427	0.2119484061
428	0.2104609126
429	0.2086027882
430	0.2071940617
431	0.2062052328
432	0.205300797
433	0.2043948169
434	0.2033735975
435	0.2024177008
436	0.2008160518
437	0.2000479613
438	0.1990900664
439	0.1982517303
440	0.1974987035
441	0.197408276
442	0.1968851348
443	0.1956785346
444	0.1955963777
445	0.1945288724
446	0.1944010621
447	0.1938272941
448	0.1927152687
449	0.1917206563
450	0.1904168858
451	0.189742254
452	0.1882224975
453	0.1873540025
454	0.1867054665
455	0.1849739525
456	0.1839501707
457	0.1828345595
458	0.1823065274
459	0.1813362075
460	0.1801627512
461	0.1790827978
462	0.1790051474
463	0.1779672049
464	0.1770719326
465	0.1758478715
466	0.1753378689
467	0.1744353172
468	0.1734621341
469	0.1725319391
470	0.1714643685
471	0.1703306742
472	0.1698732524
473	0.1689502727
474	0.1679824321
475	0.1669021852
476	0.1664576616
477	0.1654255498
478	0.1653634547
479	0.1644322604
480	0.1632376664
481	0.1624055286
482	0.1612441662
483	0.1606977339
484	0.159909458
485	0.1588147523
486	0.1581948528
487	0.1572998458
488	0.1570065249
489	0.1563244135
490	0.1559987421
491	0.1550304617
492	0.1542765647
493	0.153282437
494	0.1528459404
495	0.1521797373
496	0.1513976013
497	0.1505831285
498	0.1496249854
499	0.148218712
