iter	Passed	Remaining
0	9	4897
1	17	4335
2	25	4152
3	32	3975
4	39	3880
5	46	3795
6	55	3905
7	62	3856
8	72	3934
9	79	3910
10	87	3904
11	97	3946
12	104	3930
13	113	3937
14	121	3912
15	128	3875
16	134	3835
17	145	3899
18	154	3918
19	162	3894
20	170	3891
21	178	3885
22	187	3884
23	195	3882
24	204	3883
25	213	3884
26	222	3891
27	229	3863
28	236	3837
29	243	3818
30	251	3809
31	259	3790
32	267	3782
33	275	3769
34	284	3776
35	291	3759
36	299	3747
37	307	3734
38	314	3721
39	323	3717
40	331	3706
41	339	3702
42	346	3686
43	354	3672
44	361	3655
45	369	3642
46	375	3621
47	384	3618
48	392	3615
49	395	3555
50	406	3575
51	414	3570
52	421	3553
53	430	3553
54	438	3545
55	445	3534
56	453	3525
57	461	3516
58	470	3514
59	478	3508
60	486	3500
61	494	3494
62	502	3487
63	510	3477
64	518	3473
65	528	3472
66	537	3475
67	545	3463
68	552	3453
69	560	3443
70	569	3443
71	581	3454
72	592	3463
73	600	3458
74	610	3458
75	619	3456
76	628	3453
77	636	3445
78	645	3441
79	653	3431
80	661	3421
81	672	3426
82	680	3420
83	692	3427
84	700	3422
85	710	3418
86	722	3429
87	734	3440
88	742	3430
89	749	3415
90	757	3402
91	764	3391
92	771	3377
93	778	3364
94	786	3351
95	796	3352
96	805	3346
97	814	3340
98	822	3332
99	832	3328
100	839	3314
101	846	3301
102	853	3289
103	860	3275
104	867	3262
105	877	3260
106	885	3251
107	892	3240
108	900	3231
109	908	3219
110	916	3211
111	925	3204
112	935	3202
113	942	3190
114	949	3178
115	956	3164
116	963	3152
117	970	3140
118	977	3129
119	985	3120
120	992	3109
121	1000	3100
122	1009	3092
123	1018	3088
124	1027	3083
125	1035	3073
126	1042	3062
127	1050	3052
128	1058	3043
129	1066	3035
130	1074	3025
131	1082	3017
132	1089	3007
133	1097	2998
134	1105	2989
135	1113	2980
136	1121	2970
137	1129	2962
138	1136	2951
139	1143	2940
140	1150	2929
141	1157	2918
142	1164	2907
143	1172	2897
144	1180	2889
145	1188	2882
146	1198	2878
147	1207	2872
148	1215	2863
149	1228	2865
150	1237	2859
151	1245	2852
152	1254	2844
153	1260	2832
154	1267	2821
155	1274	2811
156	1283	2803
157	1291	2794
158	1298	2784
159	1306	2775
160	1314	2767
161	1322	2758
162	1331	2751
163	1339	2744
164	1346	2734
165	1354	2724
166	1361	2714
167	1368	2704
168	1376	2695
169	1383	2685
170	1391	2676
171	1399	2669
172	1408	2662
173	1416	2654
174	1424	2644
175	1432	2637
176	1441	2629
177	1450	2624
178	1458	2615
179	1466	2606
180	1474	2597
