iter	Accuracy	MultiClass
0	0.9	1.096294444
1	0.88	1.094406967
2	0.94	1.092990682
3	0.9	1.090993235
4	0.98	1.088965263
5	0.98	1.087493136
6	0.98	1.08617228
7	0.98	1.084405032
8	0.98	1.082505258
9	0.98	1.081110971
10	0.98	1.0791008
11	0.98	1.077416116
12	0.98	1.075304777
13	0.98	1.073009716
14	0.98	1.071275317
15	0.98	1.069543414
16	0.98	1.067185167
17	1	1.064975141
18	1	1.063790928
19	1	1.061979618
20	1	1.060202568
21	1	1.058806454
22	1	1.0578171
23	1	1.05560004
24	1	1.054178479
25	1	1.052775758
26	1	1.051208785
27	1	1.049590874
28	1	1.047142816
29	1	1.045750485
30	1	1.044427327
31	1	1.042808819
32	1	1.041299845
33	1	1.039484021
34	1	1.037829998
35	1	1.036212341
36	1	1.034762222
37	1	1.033212751
38	1	1.031871565
39	1	1.030566498
40	1	1.028793588
41	1	1.027425837
42	1	1.025850724
43	1	1.024567931
44	1	1.023011373
45	1	1.02117376
46	1	1.019369733
47	1	1.017708981
48	1	1.015673124
49	1	1.014174944
50	1	1.01291599
51	1	1.00850189
52	1	1.00678527
53	1	1.005524658
54	1	1.003107484
55	1	1.00221395
56	1	1.00028491
57	1	0.9985479125
58	1	0.9970163132
59	1	0.995226262
60	1	0.9938402515
61	1	0.9918644375
62	1	0.9888611139
63	1	0.9868950688
64	1	0.9849565285
65	1	0.9822885136
66	1	0.9806034724
67	1	0.9790755161
68	1	0.9777815544
69	1	0.9763358625
70	1	0.9739858571
71	1	0.9726199568
72	1	0.9708996959
73	1	0.969845878
74	1	0.9682167052
75	1	0.9667070325
76	1	0.9652274275
77	1	0.9632137003
78	1	0.9617284072
79	1	0.9599992662
80	1	0.9585878575
81	1	0.9570763556
82	1	0.9551886278
83	1	0.9537214501
84	1	0.9523548188
85	1	0.9509528029
86	1	0.9497354219
87	1	0.9478963228
88	1	0.9469539763
89	1	0.9454187181
90	1	0.9443176006
91	1	0.9427607454
92	1	0.9416666943
93	1	0.9402150337
94	1	0.9391913093
95	1	0.9380295093
96	1	0.9365654194
97	1	0.9352925009
98	1	0.9338363342
99	1	0.932520532
100	1	0.9314620411
101	1	0.9294655876
102	1	0.9282679572
103	1	0.9270709242
104	1	0.9256052998
105	1	0.9240997352
106	1	0.9228432926
107	1	0.9214834548
108	1	0.9199661089
109	1	0.9187383937
110	1	0.9149638808
111	1	0.9140343296
112	1	0.9123662534
113	1	0.9111313816
114	1	0.910149225
115	1	0.9087156929
116	1	0.9073417363
117	1	0.9060103412
118	1	0.9051040254
119	1	0.903864763
120	1	0.9023144423
121	1	0.9008563034
122	1	0.8994026288
123	1	0.898197838
124	1	0.89661873
125	1	0.8953082697
126	1	0.8941324694
127	1	0.8924264787
128	1	0.8914229678
129	1	0.8903493616
130	1	0.8894239327
131	1	0.8878764845
132	1	0.8865286781
133	1	0.8849615295
134	1	0.8835195167
135	1	0.8818931382
136	1	0.8807871435
137	1	0.8795106491
138	1	0.8785687866
139	1	0.8770278513
140	1	0.8748756674
141	1	0.8738318264
142	1	0.8724037037
143	1	0.8714758972
144	1	0.8703320248
145	1	0.8691789796
146	1	0.8674603622
147	1	0.8662187845
148	1	0.8649878332
149	1	0.8632931141
150	1	0.8619774098
151	1	0.8605857772
152	1	0.8591649489
153	1	0.8578436074
154	1	0.8567336272
155	1	0.855641238
156	1	0.8545095423
157	1	0.8537378655
158	1	0.8526115021
159	1	0.8515599465
160	1	0.8506943306
161	1	0.8492790789
162	1	0.8478759526
163	1	0.84668486
164	1	0.8458562209
165	1	0.8444276029
166	1	0.8429127577
167	1	0.8421221062
168	1	0.8409508795
169	1	0.8399651234
170	1	0.839001479
171	1	0.8374714498
172	1	0.8362949677
173	1	0.8352390177
174	1	0.8341934702
175	1	0.8331997828
176	1	0.8320766409
177	1	0.8311552074
178	1	0.8301989045
179	1	0.8290332946
180	1	0.8279794661
181	1	0.8271865735
182	1	0.8258743137
183	1	0.8248286438
184	1	0.8237374591
185	1	0.8221246101
186	1	0.8211263628
187	1	0.820004242
188	1	0.8189550741
189	1	0.8174741316
190	1	0.8164304322
191	1	0.8153400604
192	1	0.8144368031
193	1	0.8130581344
194	1	0.8121047351
195	1	0.8111224776
196	1	0.8096965353
197	1	0.8085938262
198	1	0.8076872088
199	1	0.8061547694
200	1	0.8051135404
201	1	0.8039310098
202	1	0.8029651043
203	1	0.8007997855
204	1	0.7997087433
205	1	0.7980509715
206	1	0.7969964091
207	1	0.7958900386
208	1	0.7949946335
209	1	0.7937783848
210	1	0.7923383261
211	1	0.7910708907
212	1	0.7900617986
213	1	0.7891415378
214	1	0.788110431
215	1	0.7862641254
216	1	0.7847829437
217	1	0.7837222957
218	1	0.7827454618
219	1	0.7818552083
220	1	0.7804725181
221	1	0.7794026577
222	1	0.7780253198
223	1	0.7764418637
224	1	0.7753630722
225	1	0.7744332297
226	1	0.773424077
227	1	0.7722712221
228	1	0.7713276438
229	1	0.7704109807
230	1	0.7695032308
231	1	0.7685702599
232	1	0.7673555991
233	1	0.7661394205
234	1	0.7652430088
235	1	0.7644138479
236	1	0.7632878974
237	1	0.7623727946
238	1	0.7615641673
239	1	0.7606025428
240	1	0.7593308679
