iter	Passed	Remaining
0	393	196531
1	756	188379
2	780	129276
3	991	122930
4	1425	141085
5	1765	145366
6	1989	140115
7	2101	129267
8	2336	127457
9	2515	123244
10	2666	118520
11	2843	115641
12	2863	107283
13	2935	101910
14	2953	95490
15	3000	90758
16	3016	85717
17	3030	81139
18	3041	76990
19	3051	73231
20	3061	69824
21	3071	66730
22	3092	64138
23	3102	61542
24	3114	59167
25	3127	57022
26	3149	55173
27	3165	53363
28	3182	51687
29	3197	50093
30	3213	48622
31	3230	47252
32	3247	45951
33	3263	44734
34	3323	44150
35	3448	44451
36	3467	43393
37	3483	42345
38	3496	41332
39	3509	40353
40	3687	41278
41	3813	41585
42	4138	43979
43	4224	43780
44	4251	42989
45	4277	42212
46	4303	41473
47	4320	40687
48	4435	40827
49	4465	40185
50	4484	39482
51	4501	38786
52	4517	38101
53	4954	40918
54	5105	41308
55	5228	41453
56	5251	40810
57	5357	40829
58	5558	41545
59	5698	41790
60	5707	41078
61	5791	40915
62	6099	42308
63	6186	42142
64	6226	41669
65	6607	43448
66	6654	43007
67	6900	43836
68	6949	43408
69	6965	42789
70	6983	42197
71	7012	41686
72	7042	41192
73	7085	40787
74	7104	40259
75	7639	42620
76	7776	42721
77	7836	42395
78	7863	41906
79	7891	41428
80	7909	40916
81	7918	40363
82	7925	39817
83	7933	39288
84	7940	38768
85	7948	38265
86	7956	37768
87	7965	37294
88	7973	36822
89	7983	36370
90	7991	35918
91	7999	35476
92	8010	35056
93	8019	34637
94	8027	34220
95	8037	33822
96	8045	33425
97	8052	33033
98	8060	32648
99	8068	32273
100	8074	31899
101	8082	31537
102	8089	31181
103	8097	30832
104	8104	30488
105	8111	30151
106	8119	29822
107	8129	29505
108	8135	29185
109	8143	28871
110	8149	28561
111	8157	28258
112	8163	27959
113	8171	27667
114	8177	27377
115	8190	27112
116	8202	26850
117	8211	26583
118	8221	26322
119	8232	26068
120	8242	25816
121	8251	25566
122	8260	25319
123	8269	25074
124	8278	24835
125	8287	24598
126	8295	24365
127	8304	24136
128	8312	23905
129	8319	23678
130	8327	23456
131	8337	23243
132	8348	23037
133	8361	22837
134	8373	22639
135	8382	22436
136	8395	22243
137	8405	22047
138	8412	21849
139	8423	21660
140	8434	21473
141	8443	21287
142	8450	21097
143	8458	20910
144	8473	20745
145	8492	20590
146	8529	20483
147	8549	20334
148	8561	20167
149	8574	20006
150	10612	24527
151	10622	24320
152	10636	24123
153	10645	23917
154	10656	23718
155	10665	23517
156	10677	23327
157	10690	23140
158	10700	22947
159	10710	22758
160	10720	22573
161	10732	22393
162	10743	22211
163	10753	22030
164	10760	21846
165	10765	21660
166	10771	21478
167	10778	21299
168	10784	21121
169	10791	20947
170	10796	20773
171	10803	20602
172	10809	20432
173	10815	20263
174	10823	20100
175	10829	19935
176	10836	19774
177	10842	19613
178	10850	19458
179	10859	19305
180	10866	19151
181	10872	18997
182	10878	18844
183	10886	18695
184	10892	18547
185	10901	18402
186	10908	18257
187	10916	18116
188	10923	17973
189	10930	17834
190	10939	17698
191	10946	17560
192	10954	17425
193	10960	17288
194	10972	17162
195	10979	17029
196	10988	16900
197	10994	16769
198	11003	16643
199	11010	16515
200	11020	16393
201	11027	16268
202	11035	16144
203	11044	16025
204	11053	15905
205	11067	15795
206	11075	15676
207	11083	15559
208	11090	15442
209	11099	15327
210	11106	15212
211	11128	15117
212	11134	15003
213	11141	14890
214	11149	14779
215	11162	14676
216	11170	14568
217	11184	14467
218	11195	14364
219	11204	14259
220	11216	14160
221	11227	14060
222	11238	13960
223	11247	13857
224	11256	13757
225	11263	13655
226	11273	13557
227	11282	13460
228	11293	13364
229	11301	13267
230	11311	13172
231	11319	13075
232	11327	12980
233	11334	12884
234	11342	12790
235	11347	12694
236	11354	12600
237	11361	12507
238	11367	12413
239	11377	12325
240	11383	12234
